school_id,student_id,student_first_name,student_last_name,dob,grade,student_email,student_phone,guardian_first_name,guardian_last_name,guardian_email,guardian_phone
0,student_0,Student_0,StudentLast_0,2000-11-27,1,student.studentlast0@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_0,ParentLast_0,parent0_of.student_0@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_0,Student_0,StudentLast_0,2001-11-27,1,student.studentlast0@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_1,ParentLast_0,parent1_of.student_0@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_1,Student_1,StudentLast_1,2000-11-27,2,student.studentlast1@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_0,ParentLast_1,parent0_of.student_1@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_1,Student_1,StudentLast_1,2001-11-27,2,student.studentlast1@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_1,ParentLast_1,parent1_of.student_1@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_2,Student_2,StudentLast_2,2000-11-27,3,student.studentlast2@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_0,ParentLast_2,parent0_of.student_2@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_2,Student_2,StudentLast_2,2001-11-27,3,student.studentlast2@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_1,ParentLast_2,parent1_of.student_2@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_3,Student_3,StudentLast_3,2000-11-27,4,student.studentlast3@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_0,ParentLast_3,parent0_of.student_3@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_3,Student_3,StudentLast_3,2001-11-27,4,student.studentlast3@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_1,ParentLast_3,parent1_of.student_3@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_4,Student_4,StudentLast_4,2000-11-27,5,student.studentlast4@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_0,ParentLast_4,parent0_of.student_4@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_4,Student_4,StudentLast_4,2001-11-27,5,student.studentlast4@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_1,ParentLast_4,parent1_of.student_4@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_5,Student_5,StudentLast_5,2000-11-27,6,student.studentlast5@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_0,ParentLast_5,parent0_of.student_5@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_5,Student_5,StudentLast_5,2001-11-27,6,student.studentlast5@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_1,ParentLast_5,parent1_of.student_5@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_6,Student_6,StudentLast_6,2000-11-27,7,student.studentlast6@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_0,ParentLast_6,parent0_of.student_6@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_6,Student_6,StudentLast_6,2001-11-27,7,student.studentlast6@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_1,ParentLast_6,parent1_of.student_6@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_7,Student_7,StudentLast_7,2000-11-27,8,student.studentlast7@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_0,ParentLast_7,parent0_of.student_7@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_7,Student_7,StudentLast_7,2001-11-27,8,student.studentlast7@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_1,ParentLast_7,parent1_of.student_7@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_8,Student_8,StudentLast_8,2000-11-27,9,student.studentlast8@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_0,ParentLast_8,parent0_of.student_8@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_8,Student_8,StudentLast_8,2001-11-27,9,student.studentlast8@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_1,ParentLast_8,parent1_of.student_8@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_9,Student_9,StudentLast_9,2000-11-27,10,student.studentlast9@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_0,ParentLast_9,parent0_of.student_9@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_9,Student_9,StudentLast_9,2001-11-27,10,student.studentlast9@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_1,ParentLast_9,parent1_of.student_9@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_10,Student_10,StudentLast_10,2000-11-27,11,student.studentlast10@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_0,ParentLast_10,parent0_of.student_10@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_10,Student_10,StudentLast_10,2001-11-27,11,student.studentlast10@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_1,ParentLast_10,parent1_of.student_10@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_11,Student_11,StudentLast_11,2000-11-27,1,student.studentlast11@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_0,ParentLast_11,parent0_of.student_11@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_11,Student_11,StudentLast_11,2001-11-27,1,student.studentlast11@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_1,ParentLast_11,parent1_of.student_11@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_12,Student_12,StudentLast_12,2000-11-27,2,student.studentlast12@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_0,ParentLast_12,parent0_of.student_12@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
0,student_12,Student_12,StudentLast_12,2001-11-27,2,student.studentlast12@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,"",Parent_1,ParentLast_12,parent1_of.student_12@061e09b6a8c0950342b51e14f70960e9.exampleschool.org,""
